a	art.一(个)；每一(个)
resource	n.资源，物力；办法
respect	n.&vt.尊敬，尊重
respectful	a.恭敬的，尊重的
respective	各自的，各个的
respectively	ad.各自地，分别地
respond	vi.作答；响应
response	n.作答，回答；响应
responsibility	n.责任，责任心；职责
responsible	a.有责任的；尽责的
rest	n.休息；安静；静止
rest	n.剩余部分；其余的人
restaurant	n.餐馆，饭店，菜馆
restless	a.不安定的，焦虑的
restore	vt.恢复；归还；修补
restrain	vt.抑制，遏制；限制
restraint	n.抑制；遏制；克制
restrict	vt限制，限定，约束
restriction	n.限制，限定，约束
result	n.成果
resume	vt.恢复；重新开始
retain	vt.保持，保留，保有
retell	vt.再讲，重述，复述
retire	vi.退下；引退；就寝
retreat	vi.(被迫)退却，后退
return	vi.&n.回来，返回
reveal	vt.展现；揭示，揭露
revenge	vt.替…报仇
reverse	vt.颠倒，翻转
review	vt.再检查
revise	vt.修订，校订；修改
revolt	vi.&n.反抗，造反
revolution	n.革命；旋转，绕转
revolutionary	a.革命的
reward	n.报答；报酬
rhythm	n.韵律，格律；节奏
rib	n.肋，肋骨
ribbon	n.缎带，丝带；带
rice	n.稻，米，饭
rich	a.富的，丰富的
rid	vt.使摆脱，使去掉
riddle	n.谜，谜语
ride	vi.&n.骑马，乘车
rider	n.骑马的人；乘车的人
ridge	n.脊；岭，山脉；垄
ridiculous	a.荒谬的，可笑的
rifle	n.步枪，来复枪
right	a.正确的
rigid	a.刚硬的；僵硬的
ring	n.环形物(如圈、环等)
ring	vi.鸣；按铃
ripe	a.熟的；时机成熟的
ripen	vt.使熟
rise	vi.起立；升起；上涨
risk	n.风险，危险，冒险
rival	n.竞争者
river	n.江，河，水道
road	n.路，道路，公路
roar	vi.吼叫；呼喊
roast	vt.&vi.烤，炙，烘
rob	vt.&vi.抢劫；劫掠
robber	n.强盗，盗贼
robbery	n.抢劫，劫掠，盗取
robe	n.长袍，长衣，浴衣
robot	n.机器人；自动机
rock	vt.摇，使动摇
rock	n.岩，岩石；石头
rocket	n.火箭，火箭发动机
rod	n.杆，竿，棒
role	n.角色，作用，任务
roll	vi.&vt.滚动；转动
roller	n.滚柱，滚筒，滚轴
Roman	n.古罗马人
romantic	a.浪漫的；传奇的
roof	n.屋顶，车顶；顶
room	n.房间；地位；余地
root	n.根，根子
rope	n.绳，索
rose	n.蔷薇花，蔷薇科植物
rot	vt.烂，腐坏
rotary	a.旋转的，转动的
rotate	vi.旋转
rotation	n.旋转，转动；循环
rotten	a.腐烂的，发臭的
rough	a.表面不平的；粗略的
roughly	ad.粗糙地，粗略地
round	a.圆的
rouse	vt.唤醒，唤起；惊起
route	n.路，路线，路程
routine	n.例行公事
row	n.(一)排，(一)行
row	vt.划(船等)
royal	a.王的；皇家的
rub	vt.摩擦，擦
rubber	n.橡皮(擦子)；橡胶
rubbish	n.垃圾，废物；废话
rude	a.加工粗糙的；粗野的
rug	n.小地毯；毛毯
ruin	n.毁灭；废墟
rule	n.统治；规定；习惯
ruler	n.统治者；尺，直尺
rumour	n.谣言，谣传，传闻
run	vi.跑，奔；行驶；流
runner	n.赛跑的人
rural	a.农村的，田园的
rush	vi.冲，奔
Russian	a.俄罗斯的
rust	n.锈
rusty	a.生锈的；变迟钝的
sack	n.袋，麻袋；开除
sacred	a.上帝的；神圣的
sacrifice	n.&vt.牺牲；南祭
sad	a.悲哀的，令人悲痛的
saddle	n.鞍子，马鞍
sadly	ad.悲痛地，悲哀地
sadness	n.悲痛，悲哀
safe	a.安全的；谨慎的
safe	n.保险箱
safely	ad.安全地；可*地
safety	n.安全，保险
sail	n.帆；船
sailor	n.水手，海员，水兵
saint	n.圣徒；基督教徒
sake	n.缘故，理由
salad	n.色拉；莴苣，生菜
salary	n.薪金，薪水
sale	n.卖；拍卖；销售额
salesman	n.售货员，推销员
salt	n.盐；盐类
salute	n.招呼，行礼
same	a.同一的，相同的
sample	n.样品；实例，标本
sand	n.沙，沙子；沙滩
sandwich	n.三明治
sandy	n.沙的，含沙的
satellite	n.卫星；人造卫星
satisfaction	n.满意；快事；赔偿
satisfactory	a.令人满意的，良好的
satisfy	vt.满足；使满意
Saturday	n.星期六
sauce	n.调味汁，酱汁
saucer	n.茶托，浅碟
sausage	n.香肠，腊肠
save	vt.救；节省；储蓄
saving	n.搭救；节约；存款
saw	n.锯子
say	vt.说；说明；比如说
scale	n.天平，磅秤，秤
scale	n.标度；比例；大小
scan	vt.细看；浏览；扫描
scar	n.伤疤，伤痕；创伤
scarce	a.缺乏的；希有的
scarcely	ad.仅仅；几乎不
scare	vt.惊吓
scarf	n.围巾，头巾；领带
scatter	vt.使消散；撒；散播
scene	n.发生地点；道具
scenery	n.舞台布景；风景
scent	n.气味，香味；香水
schedule	n.时间表；计划表
scheme	n.计划，规划；诡计
scholar	n.学者(尤指文学方面)
scholarship	n.学业成绩；奖学金
school	n.学校；学院；学派
science	n.科学，科学研究
scientific	a.科学(上)的
scientist	n.(自然)科学家
scissors	n.剪刀，剪子
scold	vi.责骂
scope	n.范围；余地，机会
score	n.得分，比数，成绩
scorn	n.轻蔑；嘲笑
scout	n.侦察员，侦察机
scrape	vt.&vi.&n.刮，擦
scratch	vt.&vi.&n.搔；抓
scream	vi.尖叫；呼啸
screen	n.屏；屏幕
screw	n.螺旋，螺丝
sea	n.海，海洋
seal	n.封蜡；印记
seal	n.海豹
seaman	n.海员，水手；水兵
seaport	n.海港，港市
search	vt.在…中搜寻，搜查
season	n.季，季节，时节
seat	n.座；座部
second	num.第二
second	n.秒
secondary	a.第二的；次要的
secondly	ad.第二(点)；其次
secret	a.秘密的；隐蔽的
secretary	n.秘书；书记；大臣
section	n.切片；一段；部门
secure	a.安心的；安全的
security	n.安全，安全感
see	vt.看见；遇见；看出
seed	n.种(子)，籽，萌芽
seek	vt.寻找，探索；试图
seem	vi.好像，似乎
seize	vt.抓住，逮捕；夺取
seldom	ad.很少，不常，难得
select	vt.&vi.选择，挑选
selection	n.选择，挑选；精选物
self	n.自我，自己
selfish	a.自私的，利己的
sell	vt.&vi.卖，销售
seller	n.卖者；行销货
semester	n.半年；学期，半学年
semiconductor	n.半导体
senate	n.参议院，上院
send	vt.送，寄发；派遣
senior	a.年少的；地位较高的
sense	n.感官；感觉；见识
sensible	a.感觉得到的；明智的
sensitive	a.敏感的；灵敏的
sentence	n.判决；句子
separate	a.分离的；个别的
separately	ad.分离地
separation	n.分离，分开；分居
September	n.九月
sequence	n.连续，继续；次序
series	n.连续，系列；丛书
serious	a.严肃的；认真的
seriously	ad.严肃地，认真地
servant	n.仆人，佣人，雇工
serve	vt.为…服务；招待
service	n.服务；行政部门
session	n.会议，一段时间
set	vt.放；安置
setting	n.安装，调整；环境
settle	vt.安排；安放；调停
settlement	n.解决；殖民，殖民地
seven	num.七，七个(人或物)
seventeen	num.十七，十七个
seventh	num.第七；七分之一
seventy	num.七十，七十个
several	a.几个，数个
severe	a.严格的；严厉的
severely	ad.严厉地，严格地
sew	vt.缝制
sex	n.性别，性
shade	n.荫；遮光物
shadow	n.阴影，阴，影子
shady	a.成荫的，阴凉的
shake	vt.摇，使震动
shall	aux.v.将要；必须；应
shallow	a.浅的；浅薄的
shame	n.羞耻，羞愧；羞辱
shampoo	vt.用洗发剂洗
shape	n.形状；情况
share	n.份；份额；股份
sharp	a.锋利的；敏锐的
sharpen	vt.削尖，使敏锐
sharply	ad.锐利地，敏锐地
shave	vt.剃，刮
she	pron.(主格)她
shear	vt.剪；剥夺
shed	vt.流出；散发；脱落
shed	n.棚，小屋；贷棚
sheep	n.羊，绵羊
sheet	n.被单；纸张；薄板
shelf	n.搁板，架子
shell	n.壳；贝壳；炮弹
shelter	n.隐蔽处；掩蔽，庇护
shepherd	n.牧羊人，羊倌
shield	n.盾；防护物
shift	vt.替换，转移
shilling	n.先令
shine	vi.照耀，发光
ship	n.(大)船，海船，舰
shirt	n.(男式)衬衫
shiver	vi.颤抖，哆嗦
shock	n.冲击；震惊
shoe	n.鞋
shoot	vt.发射；射中
shop	n.商店，店铺；车间
shopkeeper	n.店主
shopping	n.买东西，购物
shore	n.滨，岸
short	a.短的；短期的
shortage	n.不足，缺少，不足额
shortcoming	n.短处，缺点
shortly	ad.立刻；简短地
shot	n.发射；弹丸；射门
should	aux.v.将；万一；就
shoulder	n.肩，肩膀；挑起
shout	n.&vi.呼喊，喊叫
show	vt.给…看；表明
shower	n.阵雨；(一)阵；淋浴
shriek	vi.尖声喊叫
shrink	vi.收缩；缩小；退缩
shut	vt.关上，闭上，关闭
shy	a.易受惊的；害羞的
sick	a.有病的；恶心的
sickness	n.疾病
side	n.边，旁边；一方
sideways	ad.斜着，斜向一边地
sigh	n.&vi.叹气，叹息
sight	n.视力；见；情景
sightseeing	n.观光，游览
sign	n.符号；招牌
signal	n.信号
signature	n.署名，签字，签名
significance	n.意义，意味；重要性
significant	n.有意义的；重要的
silence	n.沉默
silent	a.沉默的；寂静无声的
silk	n.蚕丝，丝，丝织品
silly	a.傻的，愚蠢的
silver	n.银；银子；银器
similar	a.相似的，类似的
similarly	ad.类似地，相似地
simple	a.简单的；朴素的
simplicity	n.简单，简易；朴素
simplify	vt.简化，使单纯
simply	ad.简单地；朴素地
sin	n.罪，罪孽
since	conj.从…以来；因为
sincere	a.真诚的；真挚的
sing	vi.&vt.唱，演唱
singer	n.歌唱家，歌手
single	a.单一的；独身的
singular	a.单一的；非凡的
sink	vi.下沉；下垂；降低
sir	n.先生，阁下；…爵士
sister	n.姐妹，姐，妹
sit	vi.坐，就坐
site	n.地点，地基；场所
situation	n.位置；处境；形势
six	num.六，六个
sixteen	num.十六，十六个
sixth	num.第六；六分之一
sixty	num.六十，六十个
size	n.大小；体积；尺码
skate	n.冰鞋；滑冰
sketch	n.略图；速写；概略
ski	n.滑橇
skill	n.技能，技巧；熟练
skilled	a.有技能的，熟练的
skillful	a.灵巧的，娴熟的
skim	vt.掠过，擦过；略读
skin	n.皮；兽皮；外皮
skirt	n.女裙；边缘；郊区
sky	n.天，天空
slam	vt.使劲关，砰地放下
slave	n.奴隶；苦工
slavery	n.奴隶制度；苦役
sleep	n.睡眠
sleepy	a.想睡的；寂静的
sleeve	n.袖子，袖套
slender	a.细长的；微薄的
slice	n.薄片，切片；部分
slide	vi.滑
slight	a.细长的；轻微的
slightly	ad.稍微，有点
slip	vi.滑跤；滑落；溜
slipper	n.拖鞋，便鞋
slippery	a.滑的，使人滑跤的
slit	n.裂缝
slogan	n.标语，口号
slope	n.倾斜；斜面
slow	a.慢的；迟钝的
slowly	ad.慢慢地
slum	n.贫民窟，贫民区
sly	a.狡猾的；躲躲闪闪的
small	a.小的，少的；小型的
smart	a.巧妙的；洒脱的
smell	n.嗅觉；气味
smile	vi.微笑
smog	n.烟雾
smoke	n.烟；抽烟
smooth	a.平滑的；平静的
smoothly	ad.光滑地；平稳地
snake	n.蛇
snow	n.雪
snowstorm	n.雪暴，暴风雪
snowy	a.雪的，下雪的
so	ad.这样；这么；非常
soak	vt.浸，泡
soap	n.肥皂
sob	vi.&n.啜泣，呜咽
sober	a.清醒的；适度的
so-called	a.所谓的，号称的
soccer	n.英式足球
social	a.社会的；社交的
socialism	n.社会主义
socialist	a.社会主义的
society	n.社会；团体；社交界
sock	n.短袜
soda	n.碳酸钠，纯碱；汽水
soft	a.软的；柔和的
softly	ad.柔软地；温柔地
soil	n.泥土，土壤，土地
soil	vt.弄脏
solar	a.太阳的，日光的
soldier	n.(陆军)士兵，军人
sole	n.脚底，鞋底，袜底
sole	a.单独的，唯一的
solely	ad.单独地，唯一地
solemn	a.庄严的；隆重的
solid	a.固体的
soluble	a.可溶的；可以解决的
solution	n.解决，解答；溶解
solve	vt.解答，解释，解决
some	a.&pron.一些，若干
somebody	pron.某人，有人
somehow	ad.由于某种原因
someone	pron.某人，有人
something	pron.某事，某物
sometime	ad.在某一时候；从前
sometimes	ad.不时，有时
somewhat	pron.一点儿
somewhere	ad.在某处
son	n.儿子
song	n.歌唱；歌曲，歌词
soon	ad.不久；早，快
sophisticated	a.老于世故的；高级的
sore	a.痛的；恼火的
sorrow	n.悲痛，悲哀，悲伤
sorry	a.难过的；对不起的
sort	n.种类；类别
soul	n.灵魂；精神；人
sound	a.健康的；完好的
sound	n.声音
soup	n.汤
sour	a.酸的；脾气坏的
source	n.河的源头；根源
south	n.南，南方
southeast	n.东南
southern	a.南方的，南部的
southwest	n.西南
Soviet	n.苏维埃
sow	vt.播(种)
space	n.空间；场地；空白
spacecraft	n.航天器，宇宙飞船
spaceship	n.航天飞船
spade	n.铲，铁锹
span	n.跨距；一段时间
Spanish	a.西班牙的n.西班牙人
spare	vt.节约
spark	n.火花，火星
sparkle	vi.发火花
sparrow	n.麻雀
speak	vi.说话；发言
speaker	n.说话者；扬声器
spear	n.矛，枪
special	a.特殊的；专门的
specialist	n.专家
speciality	n.专业，特长；特产
specialize	vi.成为…专家；专攻
specially	ad.专门地，特别地
specific	a.特有的；具体的
specify	vi.指定，详细说明
specimen	n.样本，标本，样品
spectacle	n.光景，景象；眼镜
speech	n.言语；演说；方言
speed	n.快；速率
spell	vt.拼写
spelling	n.拼字，拼法，拼写法
spend	vt.用钱，花费；度过
sphere	n.球，圆体；范围
spider	n.蜘蛛
spill	vt.使溢出
spin	vt.纺；使旋转
spirit	n.精神；气魄；情绪
spiritual	a.精神的，心灵的
spit	vi.吐
splash	vt.&n.溅，泼，飞溅
splendid	a.壮丽的；显著的
split	vt.劈开
spoil	vt.损坏，糟蹋；宠坏
sponge	n.海绵
sponsor	n.发起者
spontaneous	a.自发的；本能的
spoon	n.匙，调羹
sport	n.运动；运动会
sportsman	n.运动员
spot	n.点，斑点；地点
spray	n.浪花；喷雾
spread	vt.伸开；传播
spring	vi.跳，跃
spring	n.春天，春季
springtime	n.春季，春天
sprinkle	n.洒，撒；小雨
spur	n.刺激物
spy	n.间谍，特务
square	n.正方形；广场
squeeze	vt.&vi.榨，挤；压榨
squirrel	n.松鼠
stab	vt.&vi.&n.刺，戳
stability	n.稳定，稳定性，巩固
stable	a.稳定的，不变的
stable	n.厩，马厩，牛棚
stack	n.堆，垛
stadium	n.露天大型运动场
staff	n.工作人员；参谋
stage	n.舞台；戏剧；阶段
stain	vt.沾污；给…着色
stair	n.楼梯
staircase	n.楼梯，楼梯间
stake	n.桩；赌金；奖品
stale	n.陈腐的；走了气的
stamp	n.戳子；邮票；标志
stand	vi.站；坐落
standard	n.标准
standpoint	n.立场，观点
star	n.星；恒星；明星
stare	vi.盯，凝视
start	vi.跳起；出发；开始
startle	vt.使大吃一惊
starve	vi.饿死
state	n.状态；国家；州
state	vt.陈述，说明，阐明
statement	n.陈述，声明
statesman	n.政治家，国务活动家
static	a.静的；静态的
station	n.站，台，所，局
statistical	a.统计的，统计学的
statue	n.塑像，雕像，铸像
status	n.地位，身分
stay	vi.停留；住
steadily	ad.稳定地，不变地
steady	a.稳固的
steal	vt.偷，窍取
steam	n.蒸汽
steamer	n.轮船，汽船
steel	n.钢，钢铁
steep	a.险峻的，陡峭的
steer	vt.&vi.驾驶
stem	n.茎，(树)干
step	n.(脚)步；步骤
stern	a.严厉的；坚定的
steward	n.乘务员，服务员
stewardess	n.空中小姐，女乘务员
stick	n.棍，棒
sticky	a.粘性的；胶粘的
stiff	a.硬的；僵直的
stiffen	vt.使硬；使僵硬
still	a.静止的
stimulate	vt.刺激，激励，激发
sting	vt.刺；刺痛
stir	vt.动；拨动；激动
stitch	n.一针；针脚
stock	n.原料；库存品；股本
stocking	n.长(统)袜
stomach	n.胃；肚子；食欲
stone	n.石，石头；宝石
stony	a.多石的；冷酷的
stool	n.凳子
stoop	vi.俯身；弯身
stop	vt.塞住；阻止；停止
storage	n.贮藏；贮藏量
store	n.贮藏；贮存品；商店
storey	n.(层)楼
storm	n.风暴；暴(风)雨
stormy	a.有暴风雨的；激烈的
story	n.故事，小说，传说
stove	n.炉，火炉，电炉
straight	a.直的；正直的
strain	vt.拉紧
strange	a.陌生的；奇怪的
stranger	n.陌生人；新来者
strap	n.带子
strategy	n.战略；策略
straw	n.稻草，麦杆吸管
strawberry	n.草莓
stream	n.河；流
street	n.街，街道；行车道
strength	n.力，力量，力气
strengthen	vt.加强，巩固
stress	n.压力；重音
stretch	vt.伸展
strict	a.严格的；严谨的
strictly	ad.严格地，严谨地
strike	vt.&vi.打，击
string	n.线，细绳；一串
strip	vt.剥；夺去
stripe	n.条纹，条子
stroke	n.打，击；鸣声；中风
stroke	vt.&n.抚，摩，捋
strong	a.强壮的；擅长的
strongly	ad.强壮地，强烈地
structural	a.结构的，构造的
structure	n.结构；构造
struggle	n.&vi.斗争，奋斗
student	n.学生；研究生，学者
study	n.学习，研究
stuff	n.材料
stumble	vi.绊倒；犯错误
stupid	a.愚蠢的；感觉迟钝的
style	n.风格；文体；式样
subject	n.题目；学科；主语
submarine	a.水下的
submerge	vt.浸没
submit	vt.使服从
subsequent	a.随后的，后来的
substance	n.物质；实质；本旨
substantial	a.物质的；坚固的
substitute	n.代替人
subtract	vt.减，减去，去掉
suburb	n.郊区，郊外，近郊
subway	n.地道；地下铁路
succeed	vt.继…之后
success	n.成功，成就，胜利
successful	a.成功的，结果良好的
successfully	ad.成功地
succession	n.连续；继任，继承
successive	a.连续的；接连的
such	a.这样的；如此的…
suck	vt.吸，吮，啜；吸收
sudden	a.突然的，意外的
suddenly	ad.突然地
suffer	vt.遭受；忍受；容许
sufficient	a.足够的，充分的
sufficiently	ad.足够地，充分地
sugar	n.糖
suggest	vt.建议；暗示，启发
suggestion	n.建议，意见；暗示
suit	n.起拆，诉讼
suitable	a.合适的；适宜的
sulphur	n.硫(磺)，硫黄
sum	n.总数；金额
summarize	vt.概括，概述，总结
summary	n.摘要，概要，一览
summer	n.夏，夏季
sun	n.太阳，日
Sunday	n.星期日，礼拜日
sunlight	n.日光，阳光
sunny	a.阳光充足的；快活的
sunrise	n.日出(时分)
sunset	n.日落(时分)
sunshine	n.(直射)日光，阳光
super	a.极好的，超级的
superficial	a.表面的；肤浅的
superior	a.较高的；优越的
supermarket	n.超级市场
supper	n.晚饭，晚餐
supplement	n.&vt.增补，补充
supply	vt.&n.供给，供应
support	vt.支撑；支持；供养
suppose	vt.猜想；假定；让
supreme	a.最高的；最大的
sure	a.确信的；确实的
surely	a.确实；稳当地
surface	n.地面，表面；外表
surgeon	n.外科医师；军医
surgery	n.外科，外科手术
surname	n.姓
surprise	vt.使惊奇；突然袭击
surprising	a.惊人的；出人意外的
surprisingly	ad.惊人地
surrender	vt.交出
surround	vt.围，围绕，圈住
surroundings	n.周围的事物，环境
survey	vt.俯瞰；检查；测量
survive	vt.幸免于
suspect	vt.怀疑
suspend	vt.吊，悬；推迟
suspicion	n.怀疑，疑心，猜疑
sustain	vt.支撑；供养；忍受
swallow	n.燕子
swallow	vt.&vi.吞下，咽下
swamp	n.沼泽，沼泽地
swan	n.天鹅
swarm	n.一大群
sway	vi.摇动
swear	vt.宣(誓)
sweat	n.汗
sweater	n.厚运动衫，毛线衫
sweep	vt.扫；刮起；扫过
sweet	a.甜的；愉快的
swell	vi.膨胀；隆起；增长
swift	a.快的；反应快的
swim	vi.游，游泳；眼花
swing	vi.摇摆；回转
Swiss	a.瑞士的
switch	n.开关；转换
sword	n.剑，刀
symbol	n.象征；符号，记号
sympathetic	a.同情的；和谐的
sympathize	vi.同情；同感，共鸣
sympathy	n.同情；一致，同感
synthetic	a.综合的；合成的
system	n.系统，体系；制度
systematic(al)	a.有系统的；有计划的
table	n.桌子；餐桌；项目表
tablet	n.碑，匾；药片
tag	n.附加语；标签
tail	n.尾巴；末尾部分
tailor	n.裁缝
take	vt.拿；抓；拿走；吃
tale	n.故事，传说
talent	n.天才；才能；人才
talk	vi.讲话
tall	n.高的，身材高的
tame	a.驯服的；顺从的
tan	n.棕褐色
tank	n.坦克；大容器，槽
tap	vt.&vi.&n.轻叩
tap	n.塞子；龙头
tape	n.线带；磁带，录音带
target	n.靶，标的；目标
task	n.任务，工作，作业
taste	vt.尝；尝到
tax	n.税，税款；负担
taxi	n.出租汽车
tea	n.茶；茶叶；茶树
teach	vt.讲；教育
teacher	n.教师，老师，先生
teaching	n.教学，讲授；教导
team	n.队，组
tear	n.眼泪，泪珠
tear	vt.撕开，撕裂
technical	a.技术的，工艺的
technician	n.技术员，技师
technique	n.技术，技巧；技能
technology	n.工艺学，工艺，技术
tedious	a.冗长乏味的，沉闷的
teenager	n.青少年
telegram	n.电报
telegraph	n.电报机；电报
telephone	n.电话
telescope	n.望远镜
television	n.电视；电视机
tell	vt.讲述；吩咐；辨别
temper	n.韧度；心情，情绪
temperature	n.温度；体温
temple	n.圣堂，神殿，庙宇
temporary	a.暂时的，临时的
tempt	vt.引诱，诱惑；吸引
temptation	n.诱惑，引诱
ten	num.十，十个
tenant	n.承担人，房客，佃户
tend	vt.照管，照料，护理
tend	vi.走向，趋向；倾向
tendency	n.趋向，趋势，倾向
tender	a.嫩的；脆弱的
tennis	n.网球，网球运动
tense	n.时态，时
tense	a.拉紧的，绷紧的
tent	n.帐篷
tenth	num.第十；十分之一
term	n.期；学期；条件；词
terminal	a.末端的
terrible	a.可怕的；极度的
terrific	a.可怕的；极大的
territory	n.领土，版图；领域
terror	n.恐怖，惊骇
test	n.&vt.试验；检验
text	n.原文，本文；课文
textbook	n.课本，教科书
textile	n.纺织品
than	conj.(比较级)比
thank	vt.谢谢，感谢
that	a.那
the	art.(定冠词)这，那
theatre	n.戏院；戏剧；教室
their	pron.他(她、它)们的
theirs	pron.他(她)们的东西
them	pron.(宾格)他们
themselves	pron.他们自己
then	ad.当时；然后；那么
theoretical	a.理论(上)的
theory	n.理论；学说；意见
there	ad.在那里；在那点上
thereby	ad.因此，从而，由此
therefore	ad.因此，所以
thermometer	n.温度计，寒暑表
these	a.&pron.这些
they	pron.(主格)他(她)们
thick	a.厚的；密的；浓
thickness	n.厚(度)；密(度)
thief	n.窃贼，偷窃犯
thin	a.薄的；淡的
thing	n.物；用品；事；情况
think	vt.想；想要；认为
third	num.第三；三分之一
thirdly	ad.第三
thirst	n.渴，口渴；渴望
thirsty	a.渴的；渴望的
thirteen	num.十三，十三个
thirty	num.三十，三十个
this	a.这；今
thorn	n.刺，棘；荆棘；蒺藜
thorough	a.彻底的；详尽的
those	pron.那些
though	conj.虽然
thought	n.思想；思维；想法
thoughtful	a.沉思的；体贴的
thousand	num.千，千个
thread	n.线；丝；螺纹；头绪
threat	n.威胁，恐吓，凶兆
threaten	vt.&vi.威胁，恐吓
three	num.三，三个
thrill	n.一阵激动
thrive	vi.兴旺，繁荣，旺盛
throat	n.咽喉，喉咙；嗓音
throne	n.宝座，御座；王位
throng	n.群，人群
through	prep.穿过ad.从头到尾
throughout	prep.遍及
throw	vt.投，掷，抛，扔
thrust	vt.插，刺
thumb	n.(大)拇指
thunder	n.雷
Thursday	n.星期四
thus	ad.如此，这样；因而
tick	n.滴答声；记号
ticket	n.票，券；纲领；传票
tide	n.潮，潮汐；潮流
tidy	a.整洁的；整齐的
tie	n.领带；联系
tiger	n.虎
tight	a.紧的；紧身的
till	prep.conj.直到…为止
timber	n.木材，木料
time	n.时间；时机；次，回
timetable	n.时间表，时刻表
timid	a.胆怯的；羞怯的
tin	n.锡；罐头
tiny	a.微小的，极小的
tip	n.梢，末端，尖，尖端
tip	vt.轻击
tire	vi.疲劳，累；厌倦
tired	a.疲劳的；厌倦的
tissue	n.薄绢；薄纸；组织
title	n.标题，题目；称号
to	prep.到，向，达到
toast	n.烤面包
toast	n.祝酒；祝酒词
tobacco	n.烟草，烟叶
today	ad.在今天；现在
toe	n.脚趾，足尖
together	ad.共同，一起
toilet	n.厕所，盥洗室，浴室
tolerance	n.忍受，容忍；公差
tolerate	vt.忍受，容忍，宽恕
tomato	n.番茄，西红柿
tomb	n.坟，冢
tomorrow	ad.在明天
ton	n.吨；大量
tone	n.音；腔调；声调
tongue	n.舌，舌头；语言
tonight	ad.在今夜
too	ad.也，还；太，过分
tool	n.工具，器具，用具
tooth	n.牙齿
top	n.顶；首位
topic	n.题目，论题，话题
torch	n.火炬，火把；手电筒
torrent	n.奔流，激流，洪流
tortoise	n.龟，乌龟
torture	n.拷问；折磨
toss	vt.&vi.扔，抛，掷
total	a.总的
touch	vt.触摸；触动
tough	a.坚韧的；健壮的
tour	n.&vi.旅行，游历
tourist	n.旅游者，观光者
toward(s)	prep.向；对于；接近
towel	n.毛巾，手巾
tower	n.塔
town	n.镇，市镇，城镇
toy	n.玩具，玩物
trace	n.痕迹；丝毫
track	n.行踪；路径；轨道
tractor	n.拖拉机；牵引车
trade	n.贸易；职业
tradition	n.传统，惯例
traditional	a.传统的，惯例的
traffic	n.交通，通行；交通量
tragedy	n.悲剧；惨事，惨案
trail	n.痕迹；小径
train	vt.培养
training	n.训练，锻炼，培养
traitor	n.叛徒，卖国贼
tram	n.(有轨)电车
tramp	n.流浪者，游民
transfer	vt.转移；调动vi.转移
transform	vt.改变；改造；变换
transformation	n.变化；改造；转变
transformer	n.变压器，转换器
transistor	n.晶体管
translate	vt.翻译，译
translation	n.翻译；译文，译本
transmission	n.传送；传动；发射
transmit	vt.传送，传达；发射
transparent	a.透明的；易识破的
transport	vt.运输
transportation	n.运输，运送，客运
trap	n.陷阱；诡计
travel	vi.&vi.&n.旅行
tray	n.(浅)盘，托盘，碟
treason	n.谋反，通敌，叛国罪
treasure	n.财富；珍宝
treat	vt.对待；处理
treatment	n.待遇；治疗，疗法
treaty	n.条约；协议，协定
tree	n.树
tremble	vi.发抖，哆嗦；摇动
tremendous	a.极大的，非常的
trend	vi.伸向；倾向
trial	n.试，试验；审判
triangle	n.三角(形)
tribe	n.部落，宗族
trick	n.诡计；窍门
trifle	n.小事，琐事；少许
trim	a.整齐的
trip	vi.绊；失足
triumph	n.凯旋；胜利
troop	n.军队；一群，大量
tropical	a.热带的
trouble	n.烦恼；困难
troublesome	a.令人烦恼的；麻烦的
trousers	n.裤子，长裤
truck	n.卡车，载重汽车
true	a.真的；忠实的
truly	ad.真正地；忠实地
trumpet	n.喇叭，小号
trunk	n.树干；大衣箱，皮箱
trust	n.信任
truth	n.真理；真实；真实性
try	vt.试；审问
tub	n.桶，盆，浴缸，浴盆
tube	n.管；电子管，显像管
tuck	vt.折短，卷起；塞
Tuesday	n.星期二
tuition	n.教，教诲；学费
tumble	vi.摔倒，跌倒；打滚
tune	n.调子；和谐
tunnel	n.隧道，坑道，地道
turbine	n.叶轮机，汽轮机
turbulent	a.骚动的，骚乱的
turkey	n.火鸡；火鸡肉
turn	vt.转；翻
turning	n.旋转；变向；转弯处
turnip	n.萝卜，芜菁
tutor	n.家庭教师；导师
twelfth	num.第十二
twelve	num.十二，十二个
twentieth	num.第二十
twenty	num.二十，二十个
twice	ad.两次，两倍
twin	a.孪生的
twinkle	vi.闪烁，闪耀
twist	vt.捻；拧
two	num.二，两个
type	n.型，类型
typewriter	n.打字机
typhoon	n.台风
typical	a.典型的，代表性的
typist	n.打字员
tyre	n.轮胎，车胎
U	V
ugly	a.丑陋的；可怕的
ultimate	a.最后的，最终的
ultimately	ad.最终，最后
umbrella	n.伞，雨伞
unable	a.不能的，不会的
unbearable	a.难堪的，忍受不了的
uncertain	a.无常的；不确定的
uncle	n.伯父，叔父，舅父
uncomfortable	a.不舒服的；不自在的
unconscious	a.不省人事的
uncover	vt.揭开…的盖子
under	prep.在…下面；低于.
undergo	vt.经历，经受，忍受
undergraduate	n.大学肆业生
underground	a.地下的；秘密的
underline	vt.划线于…之下
underneath	ad.在下面，在底下
understand	vt.懂；获悉
understanding	n.理解；理解力；协定
undertake	vt.从事；承担；保证
undertaking	n.任务，事业；许诺
undo	vt.解开，打开；取消
undoubtedly	ad.无容置疑，肯定地
